x       dx      y       dy
0.495	0.005	0.00	0.02
0.507	0.006	0.03	0.02
0.519	0.006	0.07	0.02
0.527	0.006	0.11	0.02
0.533	0.006	0.14	0.02
0.545	0.006	0.20	0.03
0.550	0.006	0.24	0.03
0.557	0.006	0.30	0.03
0.601	0.006	0.95	0.04
0.623	0.006	1.60	0.06
0.637	0.006	2.21	0.08
0.682	0.007	6.24	0.18
0.695	0.007	8.29	0.23
